text,extracted_award
christoph waltz wins the award for the horrible acceptance speech ,
well deserved rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
christoph waltz wins the first award hes the only nominee i cared about he deserved it ,
"i hope she wins rt ""@thehoborg just showed jennifer shes wearing a jacket she must be extra cold with that flu ",
"""@washingtonpost christoph waltz wins best supporting actor for unchained ",['best supporting actor']
"""@washingtonpost christoph waltz wins best supporting actor for unchained niceeee",['best supporting actor']
maggie smith wins tv supporting actress ,
rt @iamaprildaniels django unchained wins it congrats christoph waltz ,
"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",['best supporting actor']
anyway can someone tell me if taylor wins her golden globes im in a cab atm ,
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
dont know much about tv wins i just do the watching ,
christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
dowager wins ,
my greataunt maggie wins again ,
connie brittons hair for all the wins ,
"""take off an article of clothing any time maggie smith wins"" and so ",
sofia vergara looks amazing too bad she never wins ,
dowager countess wins ,
 wins the first award of the night ,
rt @radiotj christoph waltz wins first award well deserved love that guy,
aw yeah maggie smith wins @thedowagershat,
maggie smith always wins every award ,
rt @rollingout yes christoph waltz wins for django unchained ,
dame maggie smith wins of course for downton abbey ,
rt @pagesix first awardchristoph waltz wins best supporting actor for motion picture ,['best supporting actor']
rt @mrbateslegal maggie smith wins ,
"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
"rt @thr christoph waltz wins the for best supporting actor in ""django unchained"" ",['best supporting actor']
"rt @thr maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",
maggie smith wins for best supporting actress in a drama go professor mcgonnagall ,['best supporting actress']
"rt @fashionweeknyc christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
rt @iamaprildaniels django unchained wins it congrats christoph waltz ,
maggie smith wins best supporting actress in a miniseries for downton abbey ,['best supporting actress']
maggie smith wins a ,
i dont care how many golden globes it wins im still choosing to treat downton abbey as a fictional parody of a bbc show,
christoph waltz wins best supporting actor at ,['best supporting actor']
rt @hulu maggie smith wins best supporting actress in a miniseries for downton abbey ,['best supporting actress']
when leonardo dicaprio finally wins something the world and myself will be shedding long overdue tears of happiness ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
like obvi maggie wins and she doesnt even have to be there @goldenglobes,
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
if waltz won fritz wins by the transitive property ,
i hope jared leto wins best director ,['best director']
rt @mrbateslegal maggie smith wins ,
someone poke @pattonoswalt and tell him we need a dowager countess wins an award joke stat ,
@downtonabbey maggie smith wins again congratulations ,
maggie smith wins this starts so well ,
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
maggie smith wins the for downton abbey well done wishing her great health and many more awards ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
maggie smith wins at the for switching to in 46 minutes to continue the celebration ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
christoph waltz wins best supporting actor in django unchainedmaggie smith wins best supporting tv actress in downton abbey,"['best supporting actor', 'best supporting tv actress']"
@goldenglobes christoph waltz and maggie smith kick the night off with best supporting actoractress wins ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
always bet on the dowager countess always maggie smith wins but isnt there to accept baller ,
"faith in humanity rt @thr maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",
golden globes im literally gonna cry every time les mis wins ,
rt @movieline christoph waltz wins the golden globe for django unchained ,
the lovely maggie smith wins for downton ,
rt @thetimes maggie smith wins the golden globe for best supporting actress tv for her role in downton abbey ,
i hate the but as long as the movie wins big ill be happy,
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
poor leo i really hope he wins something someday ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @theatlanticwire maggie smith wins supporting actress foreigners living in america give award to foreigner who wont travel to america ,
rt @gbprobst the golden globes are off to a good start tina fey and amy poehler were funny and charming christoph waltz wins a well deserved award,
i really just hope silver linings playbook wins something ,
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
rt @thetimes maggie smith wins the golden globe for best supporting actress tv for her role in downton abbey ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
 wins wont host next year ,
rt @gcdb he wins congratulations to christoph ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
maggie smith wins best supporting actress and im 1for1 a pretty obvious pick though so im not getting cocky yet ,['best supporting actress']
rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
watching the @goldenglobes makes me think of the @grammys imagining the day when @asilentfilm wins one @altnation,
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
 wins the for best supporting actress my award for being the coolest woman on the planet ,['best supporting actress']
leonardo dicaprio should just win an award for being nominated the most but never wins ,
first drink of the game if maggie smith wins i dont even know who she is but she won within minutes and i drank ,
rt @higginator watching the golden globes i hope leonardo wins aomething,
im okay with hollywood when two 40ish funny women host the golden globes and one elderlyish funny woman wins the first award,
voters dont understand that sofia vergara will give you the best speech in the history of speeches if she wins let her win ,
rt @colestratton the dowager countess wins a golden globe but the earl of grantham already lost it in a bad investment ,
christoph waltz wins best supporting actor for django @unchainedmovie ,['best supporting actor']
rt @johnnyfocal maggie smith wins for @goldenglobes,
"rt @fashionweeknyc maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",
it doesnt really matter who wins does it does it ,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
 wins best supporting actor for django unchained he was incredible @norbuck,['best supporting actor']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
i hope the hour wins best miniseries ,['best miniseries']
rt @theweek maggie smith the dowager countess wins best supporting actress for tv performance for downton abbey ,['best supporting actress']
" rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
christoph waltz wins best supporting actor at the golden globes 2013 ,['best supporting actor']
"christoph waltz wins best supporting actor at the golden globes 2013 pimg src"" ",['best supporting actor']
 wins best miniseries or tv movie ,['best miniseries']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
just tell me when wins @ahsfx,
golden globes 2013 game change hbo wins best miniseries or tv movie,['best miniseries']
oh snooze sarah palin wins i wonder how she feels,
game change wins best miniseries or tv movie ,['best miniseries']
"hbos ""game change"" wins best miniseries or motion picture made for television at the ",['best miniseries']
this feels like the start of a drinking game drink everything wins something ,
game change wins for best miniseries tv movie ,['best miniseries']
game change wins for best miniseries or tv movie zero people are surprised ,['best miniseries']
rt @washingtonpost wins best miniseries or tv movie ,['best miniseries']
yoshiki wins special award for cutest guy at the golden globes,
"""@thewrap golden globes 2013 christoph waltz wins best supporting actor ",['best supporting actor']
of course christoph waltz wins for best supp actor of course ,['best supp actor']
 wins no way shouldve been ,
 game change wins best mini series tv movie,['best mini series tv movie']
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
game change wins best tv movie ,['best tv movie']
"""game change"" wins the for best tv movie or miniseries ",['best tv movie']
game change wins best miniseries what a deserving win ,['best miniseries']
the antisarah palin movie wins the imagine my surprise,
rt @hggirlonfire game change with woody harrelson wins best miniseries ,['best miniseries']
game change wins best miniseries or tv movie ,['best miniseries']
rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
definitely expecting anne hathaway to give her princess diaries speech if she wins tonight ,
game change wins best tv mini seriesdrama ,['best tv mini seriesdrama']
rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
game change wins best tv movieminiseries definitely not surprised ,['best tv movieminiseries']
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
game change wins the which officially makes it the only thing mccainpalin 2012 ever won,
"seems like that movie ran years ago ""game change"" the sarah palin thing wins best tv movie ",['best tv movie']
game change wins the golden globes its official john mccain is the only person sarah palin hasnt brought success to ,
"""@ap christoph waltz wins golden globe for best supporting actor rjj"" the dr @jermainemoore88",
pretty pleased with the wins so far especially dame maggie smith wouldve liked to have seen the hour win ,
great movie game change wins best miniseries or tv movie ,['best miniseries']
woo hoo @juliannemoores game change wins best mini series or tv movie ,['best mini series']
rt @naturallysteph jonathan from buffy i love it when he wins awards ,
still always laugh thinking about danny strong on when he wins everything is nominated for ,
rt @laceyvrose in an utterly unsurprising twist hbos wins for best miniseries or tv movie ,['best miniseries']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
 wins best miniseries or tv movie ,['best miniseries']
like a fine wine even better with age maggie smith wins for still up for her role in quartet ,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
the make me hate hbo more and more every year any show on that network wins everything,
rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,
congrats to christoph waltz maggie smith and game change on their wins ,
rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,['best supporting actor']
take off an article of clothing any time maggie smith wins ,
could care less who wins the awards just like all the other stuff ,
rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,
is maggie smith too old to travel to america or what she never comes but always wins ,
 so glad she won rt @thr maggie smith wins the golden globe for best supporting cont ,
i truly believe leo dicaprio has been blackballed by the hollywood awardsfilm industry he is a fantastic actor never wins ,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
disappointed that sofia vergara never wins seriously whats up with that ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,['best supporting actress']
rt @washingtonpost wins best miniseries or tv movie ,['best miniseries']
rt @etonlinealert game change wins best tv movie et has all the coverage ,['best tv movie']
rt @mharrisperry game change wins i kind of love that ,
rt @downtonthehatch drink whenever maggie smith wins award but cant be bothered to fly to the colonies to retrieve it ,
rt @washingtonpost maggie smith wins best supporting actress for tv performance in abbey ,['best supporting actress']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
i hope jessica lange wins ,
rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,['best supporting actress']
rt @theatlanticwire game change wins best tv miniseriesmovie jay roach gets in there with a very timely sarah palin dig ,['best tv miniseriesmovie jay roach']
does everyone have to get on stage when their movie wins at theyre going to miss the fruit cup,
dang u typed that fast lol rt @aggiashagre game change starring julianne moore wins best miniseries or tv movie category ,['best miniseries']
rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,['best supporting actress']
julianne wins not because she was the best but because everyone hates sarah palin ,
"""@huffingtonpost christoph waltz wins best supporting actor at as he should have",['best supporting actor']
"rt @thr ""game change"" wins the for best tv movie or miniseries ",['best tv movie']
julianne moore wins for ,
go julianne moore 2 wins and we have only done a few categories ,
julian moore wins ,
rt @emilcdc game change wins the which officially makes it the only thing mccainpalin 2012 ever won,
julianne moore wins best actress in tv movie ,['best actress']
rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,['best supporting actor']
west 11th st wins at the yay for our neighbor the game changer,
bravery wins congrats julianne moore ,
i love les mis but if it wins best picture over lincoln im honestly going to kill someone ,['best picture']
julianne moore wins best actress in a miniseries or tv movie ,['best actress']
julianne moore wins best actress in a miniseries or tv movie for ,['best actress']
darcy st fudge wins for my new alias ,
rt @marlownyc so christoph waltz replaced dicaprio as col landa won everything now costars with leo in django and wins globe yikes ,
rt @rachaelray hope @benaffleck wins best director at but gotta say still bummed bewildered at oscar miss on director list my fave ,['best director']
rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,['best actress']
julianna moore wins best actress for miniseriestv movie ,['best actress']
the wins again @goldenglobes,
 wins best actress in a tv series for doing a saturday night live parody of exgovernor sarah palin ,['best actress']
rt @theweek julianne moore wins best actress in miniseries or tv movie for game change ,['best actress']
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
"rt @thr julianne moore wins the for best actress in a miniseries or tv movie for ""game change"" ",['the for best actress']
"julianne moore wins best actress in a tv movie for playing @sarahpalin in ""game change"" ",['best actress']
julianne moore wins best actress for tv movie role in game change gives mad props to director jay roach ,['best actress']
 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,['best actress']
i hope hugh jacknan wins a golden globe ,
rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,['best actress']
rt @washingtonpost maggie smith wins best supporting actress for tv performance in abbey ,['best supporting actress']
yay well deserved rt @globalgrind julianne moore wins best actress in a mini series or tv movie ,['best actress']
yay julianne moore wins jessica lange falls victim to this category cf haha ,
rt @playhouseonpark well deserved wins by christoph waltz and maggie smith period pieces already taking a lead ,
"""game change"" wins for best tv movie and best actress an interview with screenwriter danny strong ","['best tv movie', 'best actress']"
yay for politicos wins for best miniseries yay christopher waltz won best actor for django unchained ,"['best miniseries', 'best actor']"
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @mharrisperry game change wins i kind of love that ,
rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,['best actress']
rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,
rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,['best supporting actress']
rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
rt @ashatomlinson game change wins best tv mini seriesdrama ,['best tv mini seriesdrama']
i hope les mis wins for best comedy ,['best comedy']
"julianne moore wins for best actress in a miniseries or movie ""oh my gosh my children will be so relieved"" she says ",['best actress']
rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,['best actress']
bill murray wins best life well deserved ,['best life']
"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",
i hope les mis wins love that movie ,
rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
i really hope miserables wins ,
rt @etonlinealert first game change now julianne wins the globe a look back at her 98 globes appearance ,
rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,['best actress']
2013 golden globes maggie smith wins for downton abbey ,
even though is the golden globes and the musical always wins even when it doesnt deserve it ,
watching the golden globes hoping wins something lol,
golden globes live blog waltz wins fordjango ,
rt @globeandmail golden globes julianne moore wins best tv actress for sara palin portrayal ,['best tv actress']
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
rt @pagesix game change wins best tv movie wonder what sarah palin thinks,['best tv movie']
"rt @abc julianne moore wins for best actress in a miniseries or movie ""oh my gosh my children will be so relieved"" she says ",['best actress']
rt @washingtonpost wins best miniseries or tv movie ,['best miniseries']
"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",['best actress']
"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",
rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,
"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",['best actress']
congrats to @juliannemoore for the wins its great to see buers @goldenglobes and you look terrific,
rt @proteautype bill murray wins best facial hair of the night and the 19th century ,['best facial hair']
rt @rachaelray hope @benaffleck wins best director at but gotta say still bummed bewildered at oscar miss on director list my fave ,['best director']
"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",
rt @rollingout yes christoph waltz wins for django unchained ,
rt @heroinetv i love when jonathan from buffy wins awards and doyle would be so proud ,
rt @brendonwalsh the latina lady from modern family wins the sassy stereotype in the most overrated sitcom ever award ,
"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",['best actress']
"rt @ontheredcarpet julianne moore of ""game change"" wins best performance by an actress in a tv series at the ",['best performance']
"rt @soopermexican hbos ""we hate conservatives"" wins best tv movie ",['best tv movie']
gorgeous womans so faradele hoping skyfall wins julianne moore sofy vergara anne hathaway nicole kidman hallie berry ,
rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
"oh yeah ""@thr 2013 christoph waltz wins best supporting actor globe for django unchained ",['best supporting actor globe']
rt @hulu julianne moore wins best actress in a miniseries for game change ,['best actress']
so far no categories or wins that interest me hope things pick up the only good thing so far was the opening monologue ,
"rt @jessetyler i hope adele wins her award today so we can hear her ""fhank you speech"" love her",
"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",
true sake as my favorite actress ever wins thanks chino ,
rt @dantzv that being said ben affleck wins best tux of the night ,
@lmotriak ok thanks hubby wont let me watch it hope the walking dead wins some golden globes,
yes i watch the golden globes and feel sort of proud when hbo wins won champagne and strawberry for all ,
rt @huffpostwomen maggie smith wins for downton abbey what is a weekend again ,
and now for some more british wins please ,
rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,
i think i died when the les mis trailer was played i really hope it wins ,
julianne moore wins best actress in a miniseries or tv movie for ,['best actress']
rt @globalgrind game change wins best miniseries or tv movie ,['best miniseries']
watching the golden globes everyone looks beautiful hoping wins big tonight ,
rt @antderosa christoph waltz wins best supporting actor for django unchained ,['best supporting actor']
"""@abc julianne moore wins for best actress in a miniseries or movie""oh my gosh my children will be so relieved"" she says ",['best actress']
"julianne moore wins the for best actress in a miniseries or tv movie for ""game change"" ",['the for best actress']
rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,['best actress']
best part of the golden globes open bar everybody wins,
rt @mharrisperry game change wins i kind of love that ,
rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,
rt @leosoup sarah palin wins for biggest nobody likes you ,
christoph waltz maggie smith and more check out all the wins on the so far ,
julianne moore wins best actress in miniseriestv movie for were updating winners here ,['best actress']
maggie smith wins at the golden globes ,
im done with golden globes bill the butcher wins again ,
rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
i hate watching the golden globes because the movies i wanna win never do and its always a stupid movie ive never heard of that wins,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
rt @ap christoph waltz wins golden globe for best supporting actor rjj,
julianne moore wins best actress in miniseries at golden globes ,['best actress']
i hope les miserables wins all the awards ,
rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,['best supporting actor globe']
rt @leosoup sarah palin wins for biggest nobody likes you ,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,['best actress']
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
"rt @shutupjustine @itseasybeineasy ""@ap christoph waltz wins golden globe for best supporting actor rjj""",
rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,['best actress']
"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",['best actress']
rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,['best supporting actress']
rt @theroot247 julianne moore wins best actress for tv movie role in game change gives mad props to director jay roach ,['best actress']
justin timberlake wins golden globe for funniest goofball at his table ,
i hope the best exotic marigold hotel wins it was a great and funny movie ,
rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,
rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
rt @washingtonpost christoph waltz wins best supporting actor for unchained ,['best supporting actor']
rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
rt @kerryreichs catherine zeta jones wins the first awkward moment by singing and making me uncomfortable ,
golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy po ,['best supporting actor globe']
 salma hayek thought it was a theme party also she wins,
hoping jeff daniels wins for newsroom ,
homeland wins and thus gingers win their civil rights activism for souls ,
damian lewis wins for the best show on television ,['the best show']
rt @abcnewsent damian lewis wins best actor tv series or drama his first win 3rd nom ,['best actor tv series']
damian lewis wins and i havent missed yet either im psychic or the hfpa are super predictable its the latter ,
