,text,spacy
192,rt @huffingtonpost christoph waltz wins best supporting actor at ,
193,maggie smith wins best supporting actress and im 1for1 a pretty obvious pick though so im not getting cocky yet ,maggie smith
194,rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
195,watching the @goldenglobes makes me think of the @grammys imagining the day when @asilentfilm wins one @altnation,
196,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
197, wins the for best supporting actress my award for being the coolest woman on the planet ,
198,leonardo dicaprio should just win an award for being nominated the most but never wins ,
199,first drink of the game if maggie smith wins i dont even know who she is but she won within minutes and i drank ,smith
200,rt @higginator watching the golden globes i hope leonardo wins aomething,
201,im okay with hollywood when two 40ish funny women host the golden globes and one elderlyish funny woman wins the first award,first
202,voters dont understand that sofia vergara will give you the best speech in the history of speeches if she wins let her win ,
203,rt @colestratton the dowager countess wins a golden globe but the earl of grantham already lost it in a bad investment ,rt @colestratton
204,christoph waltz wins best supporting actor for django @unchainedmovie ,christoph waltz
205,rt @johnnyfocal maggie smith wins for @goldenglobes,
206,"rt @fashionweeknyc maggie smith wins the golden globe for best supporting actress tv for ""downton abbey"" ",smith
207,it doesnt really matter who wins does it does it ,
208,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
209, wins best supporting actor for django unchained he was incredible @norbuck,
210,rt @huffingtonpost christoph waltz wins best supporting actor at ,
211,i hope the hour wins best miniseries ,the hour
212,rt @theweek maggie smith the dowager countess wins best supporting actress for tv performance for downton abbey ,
213," rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
214,christoph waltz wins best supporting actor at the golden globes 2013 ,christoph waltz
215,"christoph waltz wins best supporting actor at the golden globes 2013 pimg src"" ",christoph waltz
216, wins best miniseries or tv movie ,
217,rt @huffingtonpost christoph waltz wins best supporting actor at ,
218,rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
219,just tell me when wins @ahsfx,
220,golden globes 2013 game change hbo wins best miniseries or tv movie,
221,oh snooze sarah palin wins i wonder how she feels,sarah palin
222,game change wins best miniseries or tv movie ,
223,"hbos ""game change"" wins best miniseries or motion picture made for television at the ",
224,this feels like the start of a drinking game drink everything wins something ,
225,game change wins for best miniseries tv movie ,
226,game change wins for best miniseries or tv movie zero people are surprised ,
227,rt @washingtonpost wins best miniseries or tv movie ,rt @washingtonpost
228,yoshiki wins special award for cutest guy at the golden globes,
229,"""@thewrap golden globes 2013 christoph waltz wins best supporting actor ",
230,of course christoph waltz wins for best supp actor of course ,
231, wins no way shouldve been ,
232, game change wins best mini series tv movie,
233,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
234,game change wins best tv movie ,
235,"""game change"" wins the for best tv movie or miniseries ",
236,game change wins best miniseries what a deserving win ,
237,the antisarah palin movie wins the imagine my surprise,
238,rt @hggirlonfire game change with woody harrelson wins best miniseries ,
239,game change wins best miniseries or tv movie ,
240,rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,smith
241,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
242,definitely expecting anne hathaway to give her princess diaries speech if she wins tonight ,
243,game change wins best tv mini seriesdrama ,
244,rt @nbc christoph waltz wins the award for best supporting actor in a motion picture for his role in django unchained ,
245,game change wins best tv movieminiseries definitely not surprised ,
246,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
247,game change wins the which officially makes it the only thing mccainpalin 2012 ever won,
248,"seems like that movie ran years ago ""game change"" the sarah palin thing wins best tv movie ",
249,game change wins the golden globes its official john mccain is the only person sarah palin hasnt brought success to ,john mccain
250,"""@ap christoph waltz wins golden globe for best supporting actor rjj"" the dr @jermainemoore88",
251,pretty pleased with the wins so far especially dame maggie smith wouldve liked to have seen the hour win ,
252,great movie game change wins best miniseries or tv movie ,
253,woo hoo @juliannemoores game change wins best mini series or tv movie ,
254,rt @naturallysteph jonathan from buffy i love it when he wins awards ,
255,still always laugh thinking about danny strong on when he wins everything is nominated for ,
256,rt @laceyvrose in an utterly unsurprising twist hbos wins for best miniseries or tv movie ,
257,rt @huffingtonpost christoph waltz wins best supporting actor at ,
258, wins best miniseries or tv movie ,
259,like a fine wine even better with age maggie smith wins for still up for her role in quartet ,
260,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
261,the make me hate hbo more and more every year any show on that network wins everything,
262,rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,smith
263,congrats to christoph waltz maggie smith and game change on their wins ,
264,rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,
265,take off an article of clothing any time maggie smith wins ,
266,could care less who wins the awards just like all the other stuff ,
267,rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,smith
268,is maggie smith too old to travel to america or what she never comes but always wins ,
269, so glad she won rt @thr maggie smith wins the golden globe for best supporting cont ,smith
270,i truly believe leo dicaprio has been blackballed by the hollywood awardsfilm industry he is a fantastic actor never wins ,
271,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
272,disappointed that sofia vergara never wins seriously whats up with that ,
273,rt @huffingtonpost christoph waltz wins best supporting actor at ,
274,rt @vulture maggie smith wins best supporting actress in a tv show everyone playing tina and amys drinking game bottoms up ,
275,rt @washingtonpost wins best miniseries or tv movie ,rt @washingtonpost
276,rt @etonlinealert game change wins best tv movie et has all the coverage ,
277,rt @mharrisperry game change wins i kind of love that ,
278,rt @downtonthehatch drink whenever maggie smith wins award but cant be bothered to fly to the colonies to retrieve it ,
279,rt @washingtonpost maggie smith wins best supporting actress for tv performance in abbey ,smith
280,rt @huffingtonpost christoph waltz wins best supporting actor at ,
281,i hope jessica lange wins ,jessica
282,rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,
283,rt @theatlanticwire game change wins best tv miniseriesmovie jay roach gets in there with a very timely sarah palin dig ,jay roach
284,does everyone have to get on stage when their movie wins at theyre going to miss the fruit cup,
285,dang u typed that fast lol rt @aggiashagre game change starring julianne moore wins best miniseries or tv movie category ,dang
286,rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,
287,julianne wins not because she was the best but because everyone hates sarah palin ,julianne
288,"""@huffingtonpost christoph waltz wins best supporting actor at as he should have",
289,"rt @thr ""game change"" wins the for best tv movie or miniseries ",
290,julianne moore wins for ,julianne moore
291,go julianne moore 2 wins and we have only done a few categories ,julianne moore
292,julian moore wins ,julian moore wins
293,rt @emilcdc game change wins the which officially makes it the only thing mccainpalin 2012 ever won,
294,julianne moore wins best actress in tv movie ,julianne moore
295,rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,
296,west 11th st wins at the yay for our neighbor the game changer,west 11th
297,bravery wins congrats julianne moore ,
298,i love les mis but if it wins best picture over lincoln im honestly going to kill someone ,lincoln
299,julianne moore wins best actress in a miniseries or tv movie ,julianne moore
300,julianne moore wins best actress in a miniseries or tv movie for ,julianne moore
301,darcy st fudge wins for my new alias ,
302,rt @marlownyc so christoph waltz replaced dicaprio as col landa won everything now costars with leo in django and wins globe yikes ,rt @marlownyc
303,rt @rachaelray hope @benaffleck wins best director at but gotta say still bummed bewildered at oscar miss on director list my fave ,
304,rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,
305,julianna moore wins best actress for miniseriestv movie ,julianna moore
306,the wins again @goldenglobes,
307, wins best actress in a tv series for doing a saturday night live parody of exgovernor sarah palin ,
308,rt @theweek julianne moore wins best actress in miniseries or tv movie for game change ,julianne moore
309,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
310,rt @huffingtonpost christoph waltz wins best supporting actor at ,
311,"rt @thr julianne moore wins the for best actress in a miniseries or tv movie for ""game change"" ",rt @thr julianne moore
312,"julianne moore wins best actress in a tv movie for playing @sarahpalin in ""game change"" ",julianne moore
313,julianne moore wins best actress for tv movie role in game change gives mad props to director jay roach ,julianne moore
314, 2013 christoph waltz wins best supporting actor globe for django unchained ,
315,rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,rt @washingtonpost julianne moore
316,i hope hugh jacknan wins a golden globe ,
317,rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,
318,rt @washingtonpost maggie smith wins best supporting actress for tv performance in abbey ,smith
319,yay well deserved rt @globalgrind julianne moore wins best actress in a mini series or tv movie ,julianne moore
320,yay julianne moore wins jessica lange falls victim to this category cf haha ,yay julianne moore
321,rt @playhouseonpark well deserved wins by christoph waltz and maggie smith period pieces already taking a lead ,
322,"""game change"" wins for best tv movie and best actress an interview with screenwriter danny strong ",
323,yay for politicos wins for best miniseries yay christopher waltz won best actor for django unchained ,christopher waltz
324,rt @huffingtonpost christoph waltz wins best supporting actor at ,
325,rt @mharrisperry game change wins i kind of love that ,
326,rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,rt @washingtonpost julianne moore
327,rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,smith
328,rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,
329,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
330,rt @ashatomlinson game change wins best tv mini seriesdrama ,
331,i hope les mis wins for best comedy ,
332,"julianne moore wins for best actress in a miniseries or movie ""oh my gosh my children will be so relieved"" she says ",julianne moore
333,rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,
334,bill murray wins best life well deserved ,bill murray
335,"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",rt @fashionweeknyc julianne moore
336,i hope les mis wins love that movie ,
337,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
338,i really hope miserables wins ,
339,rt @etonlinealert first game change now julianne wins the globe a look back at her 98 globes appearance ,rt @etonlinealert
340,rt @washingtonpost julianne moore wins best actress in a miniseries or tv movie for ,rt @washingtonpost julianne moore
341,2013 golden globes maggie smith wins for downton abbey ,
342,even though is the golden globes and the musical always wins even when it doesnt deserve it ,
343,watching the golden globes hoping wins something lol,
344,golden globes live blog waltz wins fordjango ,
345,rt @globeandmail golden globes julianne moore wins best tv actress for sara palin portrayal ,globes julianne moore
346,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
347,rt @pagesix game change wins best tv movie wonder what sarah palin thinks,sarah palin
348,"rt @abc julianne moore wins for best actress in a miniseries or movie ""oh my gosh my children will be so relieved"" she says ",rt @abc julianne moore
349,rt @washingtonpost wins best miniseries or tv movie ,rt @washingtonpost
350,"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",julianne moore
351,"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",rt @fashionweeknyc julianne moore
352,rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,rt @jianghomeshi
353,"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",julianne moore
354,congrats to @juliannemoore for the wins its great to see buers @goldenglobes and you look terrific,
355,rt @proteautype bill murray wins best facial hair of the night and the 19th century ,bill murray
356,rt @rachaelray hope @benaffleck wins best director at but gotta say still bummed bewildered at oscar miss on director list my fave ,
357,"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",rt @fashionweeknyc julianne moore
358,rt @rollingout yes christoph waltz wins for django unchained ,
359,rt @heroinetv i love when jonathan from buffy wins awards and doyle would be so proud ,jonathan
360,rt @brendonwalsh the latina lady from modern family wins the sassy stereotype in the most overrated sitcom ever award ,
361,"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",julianne moore
362,"rt @ontheredcarpet julianne moore of ""game change"" wins best performance by an actress in a tv series at the ",julianne moore
363,"rt @soopermexican hbos ""we hate conservatives"" wins best tv movie ",
364,gorgeous womans so faradele hoping skyfall wins julianne moore sofy vergara anne hathaway nicole kidman hallie berry ,womans
365,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
366,"oh yeah ""@thr 2013 christoph waltz wins best supporting actor globe for django unchained ",
367,rt @hulu julianne moore wins best actress in a miniseries for game change ,julianne moore
368,so far no categories or wins that interest me hope things pick up the only good thing so far was the opening monologue ,
369,"rt @jessetyler i hope adele wins her award today so we can hear her ""fhank you speech"" love her",
370,"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",rt @fashionweeknyc julianne moore
371,true sake as my favorite actress ever wins thanks chino ,
372,rt @dantzv that being said ben affleck wins best tux of the night ,ben affleck
373,@lmotriak ok thanks hubby wont let me watch it hope the walking dead wins some golden globes,
374,yes i watch the golden globes and feel sort of proud when hbo wins won champagne and strawberry for all ,
375,rt @huffpostwomen maggie smith wins for downton abbey what is a weekend again ,rt @huffpostwomen maggie smith
376,and now for some more british wins please ,
377,rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,rt @jianghomeshi
378,i think i died when the les mis trailer was played i really hope it wins ,
379,julianne moore wins best actress in a miniseries or tv movie for ,julianne moore
380,rt @globalgrind game change wins best miniseries or tv movie ,
381,watching the golden globes everyone looks beautiful hoping wins big tonight ,
382,rt @antderosa christoph waltz wins best supporting actor for django unchained ,
383,"""@abc julianne moore wins for best actress in a miniseries or movie""oh my gosh my children will be so relieved"" she says ",julianne moore
384,"julianne moore wins the for best actress in a miniseries or tv movie for ""game change"" ",julianne moore
385,rt @nbc @juliannemoore wins best actress in a miniseries or motion picture made for television for game change ,
386,best part of the golden globes open bar everybody wins,
387,rt @mharrisperry game change wins i kind of love that ,
388,rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,rt @jianghomeshi
389,rt @leosoup sarah palin wins for biggest nobody likes you ,palin
390,christoph waltz maggie smith and more check out all the wins on the so far ,
391,julianne moore wins best actress in miniseriestv movie for were updating winners here ,julianne moore
392,maggie smith wins at the golden globes ,maggie smith
393,im done with golden globes bill the butcher wins again ,
394,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
395,i hate watching the golden globes because the movies i wanna win never do and its always a stupid movie ive never heard of that wins,
396,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
397,rt @ap christoph waltz wins golden globe for best supporting actor rjj,
398,julianne moore wins best actress in miniseries at golden globes ,julianne moore
399,i hope les miserables wins all the awards ,
400,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
401,rt @leosoup sarah palin wins for biggest nobody likes you ,palin
402,rt @huffingtonpost christoph waltz wins best supporting actor at ,
403,rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,julianne moore
404,rt @huffingtonpost christoph waltz wins best supporting actor at ,
405,"rt @shutupjustine @itseasybeineasy ""@ap christoph waltz wins golden globe for best supporting actor rjj""",
406,rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,julianne moore
407,"rt @vanityfair julianne moore wins best actress in miniseriestv movie and first person to ""give a shoutout"" at the hurrah",julianne moore
408,rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,
409,rt @theroot247 julianne moore wins best actress for tv movie role in game change gives mad props to director jay roach ,julianne moore
410,justin timberlake wins golden globe for funniest goofball at his table ,justin timberlake wins
411,i hope the best exotic marigold hotel wins it was a great and funny movie ,
412,rt @jianghomeshi big early wins for politics getting attention this year kudos to julianne moore for a role well played ,rt @jianghomeshi
